method,entity_type,site,probe,layer,test_r2,test_spearman,train_r2,is_best
qwen3_32b,world_place,mean,ridge,35,0.8223153496376953,0.8978866170455835,0.8574045674781979,False
qwen3_32b,world_place,mean,ridge,37,0.820261079751943,0.8956020014627964,0.856239378294781,False
qwen3_32b,world_place,mean,ridge,39,0.8288817547950977,0.8989439878018832,0.8711770447621973,False
qwen3_32b,world_place,mean,ridge,41,0.8265143428613644,0.8971974147802264,0.8657779250326058,False
qwen3_32b,world_place,mean,ridge,43,0.8224357015501242,0.8947926459174161,0.8598421882928439,False
qwen3_32b,world_place,mean,ridge,45,0.8195695329136687,0.8936395499024804,0.856150573308349,False
qwen3_32b,world_place,mean,ridge,47,0.8182853763022013,0.8929875495005525,0.8542943478986615,False
qwen3_32b,world_place,mean,ridge,49,0.824608888723176,0.8972776912973315,0.8597404528410585,False
qwen3_32b,world_place,mean,ridge,51,0.8301384971760617,0.9000196290703832,0.8682518163547954,True
qwen3_32b,world_place,mean,ridge,53,0.826565931155983,0.8985169244603177,0.8641973042354338,False
qwen3_32b,world_place,mean,ridge,55,0.8198936052096758,0.8958859877827667,0.8571542675702434,False
qwen3_32b,world_place,mean,ridge,57,0.8258402701096218,0.898408841573304,0.8692128148842622,False
qwen3_32b,world_place,mean,ridge,59,0.8263170864886262,0.8973767155634169,0.8743150336677942,False
qwen3_32b,world_place,mean,ridge,61,0.8196255466028128,0.8906988923823431,0.8740136646462712,False
qwen3_32b,world_place,mean,ridge,63,0.8085029070017634,0.8830434806313383,0.869271816049655,False
qwen3_32b,world_place,mean,ridge,64,0.8074652993812637,0.8879322711444654,0.8488902672808778,False
gpt_oss_120b,headline,last,ridge,1,0.3816943342114918,0.6289270239737428,0.46370193726654263,False
gpt_oss_120b,headline,last,ridge,2,0.41858558050832706,0.6553169423265884,0.4862937562991435,False
gpt_oss_120b,headline,last,ridge,3,0.4233356213954962,0.6595521424609495,0.5060434431696017,False
gpt_oss_120b,headline,last,ridge,4,0.459074671663083,0.6854552289816753,0.5348257479103823,False
gpt_oss_120b,headline,last,ridge,5,0.4693244112072503,0.692184631663011,0.5342141879243194,False
gpt_oss_120b,headline,last,ridge,6,0.4771882002214244,0.6982269984122667,0.5300576264743282,False
gpt_oss_120b,headline,last,ridge,7,0.465382386321574,0.6901361340497679,0.5407837889830482,False
gpt_oss_120b,headline,last,ridge,8,0.4708755622018682,0.694962007748246,0.5310491223940574,False
gpt_oss_120b,headline,last,ridge,9,0.4650993067909813,0.6914807949312016,0.546039656709112,False
gpt_oss_120b,headline,last,ridge,10,0.4750516803526065,0.6993515010948138,0.5724014657713878,False
gpt_oss_120b,headline,last,ridge,11,0.4652077125458445,0.6930234242798554,0.580980892509868,False
gpt_oss_120b,headline,last,ridge,12,0.46692260080657066,0.694346252589181,0.5841749065568604,False
gpt_oss_120b,headline,last,ridge,13,0.4505015667828002,0.6844364738774971,0.5870755627194422,False
gpt_oss_120b,headline,last,ridge,14,0.4452918978558723,0.681167246313541,0.5860314974296831,False
gpt_oss_120b,headline,last,ridge,15,0.4444173352670998,0.6811431207626941,0.5844206135820114,False
gpt_oss_120b,headline,last,ridge,16,0.4549141304933779,0.6881862365379926,0.5852636944517424,False
gpt_oss_120b,headline,last,ridge,17,0.4480677356427739,0.6838187519530013,0.5859739934401412,False
gpt_oss_120b,headline,last,ridge,18,0.452005092333415,0.6874715151663539,0.5914197298303565,False
gpt_oss_120b,headline,last,ridge,19,0.4551758923868563,0.690319098053398,0.5915875065902743,False
gpt_oss_120b,headline,last,ridge,20,0.45898725124011075,0.6939366649710876,0.5970084563106419,False
gpt_oss_120b,headline,last,ridge,21,0.4583453391626263,0.6924363627582591,0.5990319533393175,False
gpt_oss_120b,headline,last,ridge,22,0.4691118379100204,0.6993126467909783,0.605319672886359,False
gpt_oss_120b,headline,last,ridge,23,0.46283235577604975,0.6963156267510798,0.6058267539599254,False
gpt_oss_120b,headline,last,ridge,24,0.4744254182443236,0.7038649717103811,0.6063886022296427,False
gpt_oss_120b,headline,last,ridge,25,0.47309190037445525,0.7040575510173744,0.6046000961376619,False
gpt_oss_120b,headline,last,ridge,26,0.46699537177724637,0.7024025936762529,0.6026291773171346,False
gpt_oss_120b,headline,last,ridge,27,0.46224112044852006,0.6990363189387492,0.6019331553485538,False
gpt_oss_120b,headline,last,ridge,28,0.45813130501822363,0.6964132163920975,0.6013843757805915,False
gpt_oss_120b,headline,last,ridge,29,0.45416861122171404,0.6962466181101056,0.6015587339507176,False
gpt_oss_120b,headline,last,ridge,30,0.45700144630108486,0.6980353475808507,0.6017325598031096,False
