arm,entity_type,site,rows,layer,n,n_entities,is_control,ridge_mc_r2,ridge_mc_r2_sd,ridge_mc_rho,ridge_mc_rho_sd,pls5_mc_r2,pls5_mc_r2_sd,pls5_mc_rho,pls5_mc_rho_sd,ridge_holdout_r2,ridge_holdout_rho
llama2_7b_random,assyrian_ruler,mean,all,1,204,34,True,-0.18204960470538942,1.360072399562069,0.3860798861997596,0.3270532662797617,-0.26391023424674576,1.6853058338213414,0.37695064724118327,0.32104039947556606,-0.3965416985240906,0.22688049482852388
llama2_13b_random,assyrian_ruler,mean,all,2,204,34,True,-0.17216982184708118,1.3513606319073999,0.4140028838966207,0.3057355555359133,-0.17707649334189215,1.5069178660095535,0.4284947527329621,0.29598076936253176,-0.5383454224147379,0.5657279871048907
llama2_70b_random,assyrian_ruler,mean,all,5,204,34,True,-0.24737655503681816,1.5051714521336355,0.38441020290448463,0.32462021808298797,-0.24939775825753968,1.4774726438040546,0.3693044799154687,0.3236217033571015,-0.4258841366560182,0.45081448972420973
olmo2_7b,assyrian_ruler,mean,all,8,204,34,False,-0.20016639778959244,1.7526453006905645,0.4739445141969878,0.32044162900444356,-0.25036993134356417,2.014510981445065,0.45550924628386497,0.3337700269966121,-0.3765314284155341,-0.15911099637325052
olmo2_7b_random,assyrian_ruler,mean,all,18,204,34,False,-0.3156471318533174,1.5432408346070663,0.3627485175649042,0.3023231185312567,-0.20908205949890107,1.3115086267257814,0.4096175098299135,0.3129662753584355,-0.5430903019735094,0.3349188256992496
llama2_70b,assyrian_ruler,mean,bare,29,34,34,False,-0.04692219691826139,1.0051438783697415,0.4625000000000001,0.3490100796743351,-0.320198588292537,1.8204421552817367,0.36696428571428585,0.34999886114975076,-0.1142234373856581,0.39285714285714296
llama2_13b,assyrian_ruler,mean,bare,8,34,34,False,-0.0643694598112271,1.1744997198844942,0.4826785714285715,0.35513682150657927,-0.2824800797365147,1.9743372354040218,0.4169642857142858,0.3606070827261231,-0.12893526218152718,0.42857142857142866
llama2_7b,assyrian_ruler,mean,bare,8,34,34,False,-0.10057512756703729,1.1389443780921749,0.476607142857143,0.3073005720489838,-0.5435847941292213,2.476551891275695,0.3330357142857143,0.34866614455255457,-0.2596258635356008,0.4642857142857144
gpt_oss_120b,assyrian_ruler,mean,bare,11,34,34,False,-0.15294196925827527,1.469038421392666,0.43767857142857153,0.31473177558235926,-0.396841495244919,2.3392523198621276,0.3958928571428572,0.3352728385591506,-0.6325100008016853,0.28571428571428575
qwen3_32b,assyrian_ruler,mean,bare,61,34,34,False,-0.10077599582827436,1.184642965001,0.43553571428571436,0.3210056245136334,-0.2532754013839736,1.7570603605175261,0.41142857142857153,0.32411496448649463,0.016261560515065998,0.3571428571428572
qwen3_8b,assyrian_ruler,mean,bare,36,34,34,False,-0.03604977271548308,1.5106514330844039,0.500357142857143,0.3336752285730323,-0.1354294374846059,2.0660031784267527,0.45821428571428585,0.3408069281057796,-0.18199092110738313,0.07142857142857144
qwen3_1b7,assyrian_ruler,mean,bare,3,34,34,False,-0.19587680027156815,1.592093095975097,0.40321428571428586,0.309038791237922,-1.2154792635695852,5.0704691374841815,0.17500000000000004,0.3721318890623899,-0.12209813092911803,0.6785714285714287
thalesian_cunei400m,assyrian_ruler,mean,bare,12,34,34,False,-0.03674406706049547,1.1029292540546245,0.50875,0.31140107799677097,-0.30621104154776546,1.8008099587576643,0.3967857142857143,0.35248371651490984,-0.28920531113160974,0.3214285714285715
thalesian_akk300m,assyrian_ruler,mean,bare,6,34,34,False,-0.02030516537073469,1.012391681937467,0.5673214285714286,0.28787525421577304,-0.7107909558416163,2.176387266678841,0.3148214285714287,0.3508749541052587,-0.0898146388802783,0.03571428571428572
umt5_base,assyrian_ruler,mean,bare,8,34,34,False,-0.09453291963930215,1.3271857806805334,0.42732142857142863,0.3365941642060229,-0.09957747406939724,1.316720162115105,0.4214285714285715,0.3335224803487154,-0.17252517375100251,-0.07142857142857144
random,assyrian_ruler,mean,bare,3,34,34,True,-0.40933606660195465,1.3065295706820617,-0.038392857142857145,0.3849684836689458,-0.7806791375655545,2.3052181498954387,0.01035714285714286,0.39569736296976327,-0.9166232671156238,-0.6071428571428572
llama2_7b_random,assyrian_ruler,mean,bare,7,34,34,True,-0.38318052146824555,1.4486155677380945,0.3107142857142858,0.3600595188893875,-0.45692126708270125,1.810350440242071,0.28678571428571437,0.3559786381460643,-0.629811426265013,0.6785714285714287
