level,language,salience,cleaning,pooling,probe,protocol,metric,target,arm,value
entity,EN,obscure,rows_bare,last,pls5,entity_MC_heldout_entities,r2,year,qwen3_32b,0.3458
entity,EN,obscure,rows_all,last,ridge,entity_MC_heldout_entities,spearman,year,qwen3_32b,0.628
entity,EN,obscure,rows_all,last,ridge,entity_MC_heldout_entities,r2,year,qwen3_32b,0.242
entity,EN,obscure,rows_all,last,pls5,entity_MC_heldout_entities,spearman,year,qwen3_32b,0.5605
entity,EN,obscure,rows_all,last,pls5,entity_MC_heldout_entities,r2,year,qwen3_32b,0.1558
entity,EN,obscure,rows_bare,mean,ridge,entity_MC_heldout_entities,spearman,year,qwen3_32b,0.4004
entity,EN,obscure,rows_bare,mean,ridge,entity_MC_heldout_entities,r2,year,qwen3_32b,-0.1544
entity,EN,obscure,rows_bare,mean,pls5,entity_MC_heldout_entities,spearman,year,qwen3_32b,0.4296
entity,EN,obscure,rows_bare,mean,pls5,entity_MC_heldout_entities,r2,year,qwen3_32b,-0.2991
entity,EN,obscure,rows_all,mean,ridge,entity_MC_heldout_entities,spearman,year,qwen3_32b,0.4983
entity,EN,obscure,rows_all,mean,ridge,entity_MC_heldout_entities,r2,year,qwen3_32b,-0.1164
entity,EN,obscure,rows_all,mean,pls5,entity_MC_heldout_entities,spearman,year,qwen3_32b,0.4779
entity,EN,obscure,rows_all,mean,pls5,entity_MC_heldout_entities,r2,year,qwen3_32b,-0.1207
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC_heldout_entities,spearman,year,llama2_7b,0.4977
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC_heldout_entities,r2,year,llama2_7b,0.0175
entity,EN,obscure,rows_bare,ent_last,pls5,entity_MC_heldout_entities,spearman,year,llama2_7b,0.447
entity,EN,obscure,rows_bare,ent_last,pls5,entity_MC_heldout_entities,r2,year,llama2_7b,-0.0207
entity,EN,obscure,rows_all,ent_last,ridge,entity_MC_heldout_entities,spearman,year,llama2_7b,0.4198
entity,EN,obscure,rows_all,ent_last,ridge,entity_MC_heldout_entities,r2,year,llama2_7b,0.0008
entity,EN,obscure,rows_all,ent_last,pls5,entity_MC_heldout_entities,spearman,year,llama2_7b,0.4429
entity,EN,obscure,rows_all,ent_last,pls5,entity_MC_heldout_entities,r2,year,llama2_7b,0.0139
entity,EN,obscure,rows_bare,ent_mean,ridge,entity_MC_heldout_entities,spearman,year,llama2_7b,0.4977
entity,EN,obscure,rows_bare,ent_mean,ridge,entity_MC_heldout_entities,r2,year,llama2_7b,-0.1428
entity,EN,obscure,rows_bare,ent_mean,pls5,entity_MC_heldout_entities,spearman,year,llama2_7b,0.3927
entity,EN,obscure,rows_bare,ent_mean,pls5,entity_MC_heldout_entities,r2,year,llama2_7b,-0.3309
