regime,model,cleaning,pool,layer,year_transform,spearman_mean,spearman_std,r2_mean,r2_std,mae_mean,mae_std,mase_mean,mdape_mean,shuffled_spearman_mean,shuffled_r2_mean,n_valid_folds_or_draws
imbalanced,thalesian_cunei400m,maximal,last,2,log,-0.0005862921344956853,0.12839446395082363,-0.044014705220398666,0.02690531782065615,96.40285581105063,5.051665283369092,1.7625611462596391,9.644295305860995,0.013325997391843258,-0.042589724975328126,3
imbalanced,thalesian_cunei400m,maximal,last,3,raw,0.1431385984576509,0.028302799277167424,-0.004168792131059769,0.005634366692455408,89.22073430426552,11.998038146478097,1.6395023420193784,8.805516906929405,0.04834705556025081,-0.020482104243526884,3
imbalanced,thalesian_cunei400m,maximal,last,3,log,0.015107325435721278,0.13536993173813647,-0.04341241354747161,0.02685744508945209,96.38507064125015,5.063934664781384,1.7622508475964576,9.633715489428926,-0.008221839541219947,-0.04292766085091034,3
imbalanced,thalesian_cunei400m,maximal,last,4,raw,0.13176045705797115,0.037604324843934354,-0.004647505720462723,0.005661883992851254,89.24025306525424,11.994332239063507,1.639853690917219,8.79779774877004,0.03215061909611439,-0.020590963188101608,3
imbalanced,thalesian_cunei400m,maximal,last,4,log,-0.004875942678060574,0.1351672174183889,-0.043499261610138396,0.02628586505412906,96.40317933214344,5.064178005264721,1.7625834192397978,9.63205264471237,0.0038782855359323653,-0.04285467716739374,3
imbalanced,thalesian_cunei400m,maximal,last,5,raw,0.11372826228232118,0.054166188526241894,-0.004831717968560116,0.005754771155835025,89.2389462601074,11.989238508212766,1.6398240327742137,8.802458616668678,0.036670500627570914,-0.020415913806694608,3
imbalanced,thalesian_cunei400m,maximal,last,5,log,-0.04933705950348675,0.12015558652192493,-0.04465171065465837,0.026257317316116014,96.4641145245425,5.065429660434003,1.7636910023903714,9.643571297389755,0.024815197664438963,-0.04249752552346638,3
imbalanced,thalesian_cunei400m,maximal,last,6,raw,0.10831379658638578,0.08670391741745634,-0.004750348746501376,0.006303107654900995,89.20520170564389,11.993798168148693,1.6392140559686716,8.807743989732328,0.02258975319524309,-0.020437722883446696,3
imbalanced,thalesian_cunei400m,maximal,last,6,log,-0.09551352983222512,0.09997868738596877,-0.047825918799370294,0.02618912424913141,96.56377355043112,5.076360323716427,1.7655073841506017,9.680913491402682,0.03613296476048558,-0.04163637975989579,3
imbalanced,thalesian_cunei400m,maximal,last,7,raw,0.14280559246956684,0.13188461088438236,-0.0036427841184918743,0.0073998572496907855,89.13618533649473,11.976038719850818,1.637934517409153,8.820228676593862,0.02301301559242914,-0.020338109436701446,3
imbalanced,thalesian_cunei400m,maximal,last,7,log,-0.10692527633707903,0.08862694666373086,-0.0512873319695358,0.025738898034773885,96.69946670585345,5.1222527273356,1.7680201808349925,9.722290386206438,0.031747889399300296,-0.04146355928582054,3
imbalanced,thalesian_cunei400m,maximal,last,8,raw,0.16406400607329652,0.15789839523385762,-0.0026647197848933177,0.008070966719413018,89.06718309918021,11.942122914887689,1.6366374347085089,8.833104645061686,0.03213058782739897,-0.020488793910716563,3
imbalanced,thalesian_cunei400m,maximal,last,8,log,-0.09917411346663291,0.09818899445191945,-0.0527580966661186,0.026667612779945907,96.7487742818796,5.116015629324587,1.768898970764143,9.741219224380014,0.054050429024118496,-0.04164716225529167,3
imbalanced,thalesian_cunei400m,maximal,last,9,raw,0.171547812700758,0.1602290932237451,-0.0022403822537020446,0.008705380166664863,89.00206641375917,11.930167231333646,1.6354370198375445,8.833986995409987,0.030267821022966546,-0.02050850926715997,3
imbalanced,thalesian_cunei400m,maximal,last,9,log,-0.09211100116513334,0.09553122710042516,-0.05528093714186492,0.026502605789663892,96.83030768764395,5.145726407620008,1.7704009263744478,9.782718235097473,0.048778878545036986,-0.04169553386141304,3
imbalanced,thalesian_cunei400m,maximal,last,10,raw,0.18984092045880496,0.17296215508156618,-0.0009278423799480295,0.009953113982505066,88.9039547957587,11.894676438829135,1.6336074697673204,8.855156888956017,0.021610621771788217,-0.020536181627608247,3
imbalanced,thalesian_cunei400m,maximal,last,10,log,-0.08188544878206744,0.09567236422551646,-0.06062155722768677,0.026520555470478116,96.94196314742003,5.2393693913236685,1.772520473483116,9.806244412673182,0.052721087292906976,-0.041328894359309754,3
imbalanced,thalesian_cunei400m,maximal,last,11,raw,0.16758027100420123,0.18961322565331593,-0.00026226982308526675,0.011830321629528092,88.7445347886562,11.89499111859602,1.6307013432687354,8.868293807236638,0.0070732064812698515,-0.02127956926806629,3
imbalanced,thalesian_cunei400m,maximal,last,11,log,-0.09537825036423088,0.09174824580358348,-0.06841413835539496,0.028638885541461694,97.32658670354323,5.502932891322864,1.779778277335036,9.977485397052353,0.047903949008280655,-0.0424534785573073,3
imbalanced,thalesian_cunei400m,maximal,last,12,raw,0.22492993511747375,0.15771999658044306,0.04300531763111015,0.054731888895030355,86.14709225518139,6.950474621089726,1.5769347567798133,7.98954722588496,0.0014507494043108124,-0.060329320117251596,3
imbalanced,thalesian_cunei400m,maximal,last,12,log,0.0825014412820808,0.09656033600348159,-0.24045112895765577,0.13131579630260334,99.23353015307457,4.749484678083084,1.8135859588101966,9.441141170668908,0.013999359551892519,-0.2286042716167002,3
imbalanced,thalesian_akk300m,tier0,mean,0,raw,0.31238344250152106,0.12577179642856295,0.062192439753671946,0.0503688348076964,84.70240954675596,7.142376370413886,1.5516055863004736,8.021657613323994,0.015441450217257178,-0.04772502350974853,3
imbalanced,thalesian_akk300m,tier0,mean,0,log,0.19674887745895295,0.10597843382785103,-0.4663184519806706,0.342639541795395,109.24415775123077,13.712264259077616,2.0039942089129283,10.141537824389284,-0.011995417747735026,-0.10387722704384321,3
imbalanced,thalesian_akk300m,tier0,mean,1,raw,0.4022856655027292,0.22811534406458428,0.04544300646987961,0.05378256626982387,82.91637295511174,10.339259085220611,1.521927278422969,7.292681907203584,0.01887384174868369,-0.028741388689991727,3
imbalanced,thalesian_akk300m,tier0,mean,1,log,0.21108099665702726,0.1080052875718199,-0.10699119214377739,0.059256792027762246,90.54219092084266,5.8477182693358305,1.6558640419144235,8.527141961971585,0.00420445103131938,-0.06511726104333466,3
imbalanced,thalesian_akk300m,tier0,mean,2,raw,0.39929894547675165,0.2146476445812532,0.03605861035217861,0.05024745630881088,83.28249309040778,10.792742299792636,1.5292729721657328,7.458444634197279,-0.00319492315603292,-0.02877979913397155,3
imbalanced,thalesian_akk300m,tier0,mean,2,log,0.20968792874887057,0.09467035355316183,-0.08991304658863553,0.04509553586329833,88.87061712572711,4.663590163932187,1.62351994716822,8.222757939561324,-0.010022116697156067,-0.06401074876339823,3
imbalanced,thalesian_akk300m,tier0,mean,3,raw,0.41390831868106054,0.21927853932181354,0.04235557144309451,0.057005374792090426,82.40251489719796,10.252924513299913,1.512082548254171,7.133279542468492,0.016860087525452056,-0.033508545401858214,3
imbalanced,thalesian_akk300m,tier0,mean,3,log,0.2144756041425401,0.11876473272748043,-0.10675527471040118,0.05973023594902141,89.30482559411728,3.2913292444782396,1.6296237195239482,8.015110811788649,0.00444962814511654,-0.07240924510912117,3
imbalanced,thalesian_akk300m,tier0,mean,4,raw,0.3985612728437891,0.20737114345697952,0.044904335120925475,0.06503199523511594,82.69382612456417,10.596218390057027,1.517154338091656,7.0655059737083965,-0.0005194613387565356,-0.036253095640429146,3
imbalanced,thalesian_akk300m,tier0,mean,4,log,0.22318160184394317,0.11577258914831391,-0.12514283339185708,0.06442555015273328,90.3995381619099,2.9225294234814885,1.6503754712553713,8.086394102392665,-0.023938970108850082,-0.08184691359327549,3
