method,cleaning,pool,layer,k_used,isomap_spearman,isomap_pairwise_acc,isomap_neighbor_purity,isomap_neighbor_sigma,ebin_spearman,ebin_pairwise_acc
qwen3_32b,maximal,last,28,13,0.028385111795843625,0.5522861747692851,0.7698239731768651,5.5711787281628995,0.01329376831934165,0.4858038592308032
qwen3_32b,maximal,last,29,11,0.0006339502938614847,0.5409822493045436,0.7683989941324393,5.176365224549468,0.04655060823051409,0.5089636596458692
qwen3_32b,maximal,last,30,12,0.06506779434984875,0.57424272530578,0.7766974015088013,9.123097865622302,0.027477754133716517,0.4950710910937431
qwen3_32b,maximal,last,31,11,0.09228839046938915,0.5730781118911997,0.7657166806370495,4.936477316834606,0.040675965678845696,0.49398375060714445
qwen3_32b,maximal,last,32,7,0.05718287232593236,0.49577758643528946,0.7642917015926236,4.409539501703353,0.06008355161106735,0.520063363800945
qwen3_32b,maximal,last,33,6,0.008723887674646394,0.510862365876275,0.776110645431685,8.53120718789496,0.03843270708564122,0.5201627147083498
qwen3_32b,maximal,last,34,16,0.052506746190419645,0.581909303660529,0.7693210393964794,7.055992420701011,0.05784407411696879,0.5145659469245375
qwen3_32b,maximal,last,35,16,0.03053691916285424,0.5767320174857598,0.761441743503772,4.710909045564682,0.07767038575900419,0.5196494016867577
qwen3_32b,maximal,last,36,16,0.006865892181706831,0.563446593367775,0.7652137468566639,4.863867777898269,0.058520504339727275,0.5147315317702124
qwen3_32b,maximal,last,37,17,0.056088198367791234,0.5832505409104959,0.7652975691533948,5.279919582453779,0.03729229283723083,0.5090630105532742
qwen3_32b,maximal,last,38,15,0.08615446687428861,0.5908895217909657,0.7730930427493713,6.533368998244795,0.008598455957973141,0.5029970857067161
qwen3_32b,maximal,last,39,13,0.061868862465396,0.5731774627986047,0.7673093042749372,5.743034708215337,0.0073133543677253755,0.47548240385039964
qwen3_32b,maximal,last,40,8,0.07224227984888502,0.5628173709542102,0.7677284157585919,5.530027710874513,0.001955629729924986,0.4573287852695721
qwen3_32b,maximal,last,41,8,0.07044548000102986,0.5672660838080099,0.7647108130762783,4.269559294550842,0.004139953549447919,0.458018722126551
qwen3_32b,maximal,last,42,10,0.016446231977610373,0.5482514240296728,0.7711651299245599,6.045454806794005,0.006816737377760116,0.5111052236499316
qwen3_32b,maximal,last,43,8,0.017558319198965847,0.5515134454894688,0.7571668063704946,3.4437798706822527,0.012349290070763356,0.4658674438115424
qwen3_32b,maximal,last,44,7,0.03153134432831965,0.5620943171280964,0.7601005867560771,4.287392793836293,0.0036011021706821474,0.44840928158254956
qwen3_32b,maximal,last,45,6,0.04910505231629092,0.5364948999867533,0.7730930427493714,6.8990305111996415,0.007141885643051556,0.44847551552081955
qwen3_32b,maximal,last,46,6,0.002919488807165066,0.45924404998454543,0.758927074601844,3.6409590098942375,0.002862034524917821,0.5274429284231907
qwen3_32b,maximal,last,47,7,0.0017134450221175245,0.5465900560780678,0.7595138306789607,3.2682647058873724,0.008794889174837605,0.45170442001148053
qwen3_32b,maximal,last,48,7,0.007182621843927264,0.5360036649445843,0.762699077954736,3.78446389133007,0.010577743470485344,0.5328851503510399
qwen3_32b,maximal,last,49,6,0.03099548377344662,0.5522751357795734,0.7554903604358759,2.901287675241327,0.014909919756633756,0.5282598136618537
qwen3_32b,maximal,last,50,6,0.09291215642759913,0.5486819446284276,0.7632858340318525,4.806608639672787,0.00031565780818265915,0.445329403452996
qwen3_32b,maximal,last,51,7,0.09228464939825018,0.563672892656864,0.7682313495389774,7.076002300512017,0.010499280626095155,0.5119276283834503
qwen3_32b,maximal,last,52,9,0.059516286884596085,0.5885216584978142,0.7588432523051131,3.6671518504560154,0.038855849115554654,0.5254503907802358
qwen3_32b,maximal,last,53,9,0.02448371399530963,0.45136773082527487,0.7572506286672256,2.634175681531346,0.096563621134146,0.5569667064070296
qwen3_32b,maximal,last,54,9,0.009746653117832965,0.44997129862674967,0.765213746856664,4.837292569134044,0.006877359268007115,0.5013798737139576
qwen3_32b,maximal,last,55,8,0.034585014384406726,0.48251424029672807,0.7667225481978206,6.266636298291526,0.04075476992903375,0.5241201925199805
qwen3_32b,maximal,last,56,16,0.09138806441871473,0.5037201395328299,0.7596814752724225,4.418795778162218,0.03891754495934045,0.500491235042169
qwen3_32b,maximal,last,57,15,0.08371682266087879,0.5180211507042876,0.7733445096395641,7.372676725137978,0.008388476265755536,0.48549476751887666
qwen3_32b,maximal,last,58,15,0.06868834776388792,0.5224257075992406,0.7576697401508801,2.7001764008664764,0.009525883512647524,0.48876782796838436
qwen3_32b,maximal,last,59,15,0.055339992216062124,0.5216529783194243,0.7538139145012573,1.7680659692813605,0.01210892299486169,0.48532918267320174
qwen3_32b,maximal,last,60,15,0.09470629399871257,0.5421358237294123,0.7609388097233863,4.098962042733216,0.0027189584087103933,0.4929240075948249
qwen3_32b,maximal,last,61,15,0.08886782707143967,0.538294255309754,0.7711651299245599,7.6325795234860285,0.012753344736292974,0.4942486863602243
qwen3_32b,maximal,last,62,15,0.08507637909703276,0.5561498211683666,0.7720871751886003,6.565219449547539,0.01772779032962845,0.5005961054444297
