regime,model,cleaning,pool,layer,year_transform,k,spearman_mean,spearman_std,r2_mean,r2_std,mae_mean,mae_std,mase_mean,mdape_mean,shuffled_spearman_mean,shuffled_r2_mean,n_valid_folds,n_total_folds
imbalanced,thalesian_cunei400m,tier0,mean,2,log,5,0.047745072502185994,0.02788822542193065,-0.3839437446118019,0.29654656711872296,0.3478481887006071,0.02876569648970715,2.878622360687577,2.5741069956447507,-0.07202707005848648,-0.09526588781234129,3,5
imbalanced,thalesian_cunei400m,tier0,mean,3,raw,1,0.3156902327669408,0.28284865156142824,0.06113915987057894,0.10321230683098721,82.58177932722795,4.727968993255665,1.5051020299178794,7.472150517829498,-0.017508331142644027,-0.039116588092881356,3,5
imbalanced,thalesian_cunei400m,tier0,mean,3,raw,2,0.2773653314180304,0.13851056576034398,0.027219771535019865,0.04621823403563219,87.44914267063217,3.051695546313925,1.5968110073989086,8.668930624868159,-0.008630302810352987,-0.06335947434358191,3,5
imbalanced,thalesian_cunei400m,tier0,mean,3,raw,3,0.28951311916267347,0.058700934290898045,0.037277264835457714,0.07462742329444971,88.97207881615964,4.338521061880009,1.6255785189977345,9.093666025359395,-0.003504713776071917,-0.06289693133812897,3,5
imbalanced,thalesian_cunei400m,tier0,mean,3,raw,5,0.1933413389493102,0.1005532453683529,-0.14734674185985427,0.036007638361472784,97.4116365628106,10.260769632082411,1.7867077997829666,9.97186853451668,-0.014556532111981926,-0.13182321791045512,3,5
imbalanced,thalesian_cunei400m,tier0,mean,3,log,1,0.07127138565357523,0.11622784754375086,0.015141809304759094,0.08374669468593454,0.25078099521448133,0.029553879956872642,2.1014688605501726,2.096324401191597,-0.0021757788020380156,-0.03290767946241183,3,5
imbalanced,thalesian_cunei400m,tier0,mean,3,log,2,0.28159169985617066,0.11385893969054797,0.002897616552762513,0.13659591928969556,0.26131878381677925,0.04138070949471016,2.1955476788378765,1.8192327016209333,-0.015172338354076923,-0.0655755934407573,3,5
imbalanced,thalesian_cunei400m,tier0,mean,3,log,3,0.2954804861146077,0.10254002961937522,-0.07083513043687568,0.10752084146473609,0.2854246721387681,0.012766773621337055,2.3778687513931698,1.9363953148830435,-0.030345878320927836,-0.059057789645031056,3,5
imbalanced,thalesian_cunei400m,tier0,mean,3,log,5,0.08370310032568418,0.02012699749640203,-0.3158554716001765,0.2431431802057344,0.339872613513744,0.028717741384403896,2.8245314735735536,2.535747649222385,-0.0686592531507335,-0.11047802644720561,3,5
imbalanced,thalesian_cunei400m,tier0,mean,4,raw,1,0.3561961143963382,0.31816799894785186,0.06717097233822404,0.1158553999489332,81.05718303102917,5.815899816375389,1.476236806031018,7.3126680644152655,-0.0195708333929422,-0.04311009476148472,3,5
imbalanced,thalesian_cunei400m,tier0,mean,4,raw,2,0.29700870144666686,0.15660802592677295,0.03223401301385013,0.06088139977256843,86.36828878399733,4.3405061933733755,1.5766657358915575,8.162682378727295,-0.012962215707131587,-0.06751584531221615,3,5
imbalanced,thalesian_cunei400m,tier0,mean,4,raw,3,0.3152142103729671,0.09161737504824928,0.03637628844500248,0.08560654726439756,88.3366834465262,4.899515955414865,1.6126610111366915,8.716664674110653,-0.003173355996153792,-0.07397853980233826,3,5
imbalanced,thalesian_cunei400m,tier0,mean,4,raw,5,0.21460060378011156,0.11783312003464214,-0.14657121190151204,0.005256954610830701,98.60018393036766,9.667023676037727,1.806389853455176,9.57004434056667,-0.005378523774437302,-0.1610844825573785,3,5
imbalanced,thalesian_cunei400m,tier0,mean,4,log,1,0.07469655842394314,0.10939208294792241,0.007349742596530244,0.07033868271225026,0.2481346806323608,0.0306905922921371,2.0820029303506478,2.0889249629675306,0.0007089584337746044,-0.03800945378332029,3,5
imbalanced,thalesian_cunei400m,tier0,mean,4,log,2,0.3389694444921986,0.10457820168532987,0.009921604372548964,0.13370001854525446,0.2562791423972126,0.04057190948399343,2.154253543773293,1.6706248633929004,-0.02800850464804729,-0.07108485705788259,3,5
