regime,model,cleaning,pool,layer,k,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,chance_accuracy,chance_macro_f1,shuffled_accuracy,shuffled_macro_f1,n_draws
imbalanced,qwen3_1b7,tier0,mean,3,5,0.402355754017088,0.04733201246128316,0.09398744897626898,0.013483488680713637,0.33452418462939093,0.04024452901000804,0.22464375523889354,0.025,0.21209873070567137,0.026905975190526076,
imbalanced,qwen3_1b7,tier0,mean,4,5,0.4266305685454097,0.016611669595528466,0.08808185206455786,0.007203835290340913,0.34170168211976304,0.015616365664574432,0.22464375523889354,0.025,0.21541788263422523,0.028098207679039755,
imbalanced,qwen3_1b7,tier0,mean,5,5,0.4249639604795893,0.0175099413158397,0.08547773303368009,0.005652747488875808,0.3303117464832642,0.012647020164540841,0.22464375523889354,0.025,0.21457754649977145,0.028742504299361295,
imbalanced,qwen3_1b7,tier0,mean,6,5,0.42410604409127667,0.02623703378399131,0.08414093296818868,0.00965382997281651,0.3254715370443688,0.022104857301370386,0.22464375523889354,0.025,0.20785837347491296,0.02741566623091259,
imbalanced,qwen3_1b7,tier0,mean,7,5,0.4207798600611793,0.020109752313085538,0.08445908829303725,0.0057422764623178,0.327250497062423,0.014745150878129012,0.22464375523889354,0.025,0.18945536373545235,0.022781489267012615,
imbalanced,qwen3_1b7,tier0,mean,8,5,0.4191132519953588,0.018733249922870145,0.08468094555254467,0.008647056123535902,0.3263170111251076,0.01518902369906548,0.22464375523889354,0.025,0.19781301641995713,0.02425826127697452,
imbalanced,qwen3_1b7,tier0,mean,9,5,0.4090327344326852,0.022334622054862904,0.08102210958199066,0.007168499851795441,0.3153726979830804,0.01704301120142716,0.22464375523889354,0.025,0.18776414331422947,0.02306904901887457,
imbalanced,qwen3_1b7,tier0,mean,10,5,0.4073696424176365,0.01726431771288654,0.07840071582559043,0.005675803751476812,0.3100716375023822,0.013742224520218437,0.22464375523889354,0.025,0.19362539995077527,0.023627290238234316,
imbalanced,qwen3_1b7,tier0,mean,11,5,0.41659927569354105,0.02162667353030295,0.08287804578456379,0.010530845493276122,0.32431693985416915,0.025342693891212905,0.22464375523889354,0.025,0.2019900847368236,0.025299507128281468,
imbalanced,qwen3_1b7,tier0,mean,12,5,0.4098871347702261,0.018118893650692903,0.07919655286085833,0.005332947563459585,0.3121527844408244,0.012917669674962187,0.22464375523889354,0.025,0.19947259238423404,0.02519399273750069,
imbalanced,qwen3_1b7,tier0,mean,13,5,0.42498505678421994,0.015934375902831723,0.08588152541484362,0.008533140063284445,0.3355483945596537,0.019354715165501683,0.22464375523889354,0.025,0.19612882810027776,0.02550898352349513,
imbalanced,qwen3_1b7,tier0,mean,14,5,0.42580429661404307,0.01211741286381615,0.08947800486627597,0.005938472097445487,0.3453352655128185,0.009947681717206445,0.22464375523889354,0.025,0.1902570233114166,0.024367983369382624,
imbalanced,qwen3_1b7,tier0,mean,15,5,0.42747442073063535,0.017474923022953046,0.08978558293289443,0.007819739233975073,0.3475164327314378,0.015712272970237612,0.22464375523889354,0.025,0.19698674448859044,0.02408476510437355,
imbalanced,qwen3_1b7,tier0,mean,16,5,0.42579023241095604,0.01968636921312533,0.08945201528771543,0.007404194868660687,0.34751386916512733,0.01697314229959497,0.22464375523889354,0.025,0.1877571112126859,0.02447757751157428,
