model,layer,spearman_mean,spearman_std
qwen3_8b,3,0.2831218771894741,0.070703802488228
qwen3_8b,4,0.28289569514051444,0.07283434806227491
qwen3_8b,5,0.2852200693153828,0.07452837091268567
qwen3_8b,6,0.30425798079461386,0.0713553838855459
qwen3_8b,7,0.31579021104017324,0.08705538946414754
qwen3_8b,8,0.31962070406663806,0.08514930528125778
qwen3_8b,9,0.31153988023898754,0.08506472960785355
qwen3_8b,10,0.3066373851189207,0.09023305032824672
qwen3_8b,11,0.31558061067190757,0.08919385038504003
qwen3_8b,12,0.30964802874713226,0.08458599254740977
qwen3_8b,13,0.32610135737361745,0.08365582476302554
qwen3_8b,14,0.3373889506636087,0.08522502975022386
qwen3_8b,15,0.35950878452371987,0.08547294485871071
qwen3_8b,16,0.36329994396504417,0.08414884809916362
qwen3_8b,17,0.3521206799566062,0.08582709332561013
qwen3_8b,18,0.3396081013087979,0.08555150074497582
qwen3_8b,19,0.32436569086264144,0.08365482275840064
qwen3_8b,20,0.3119878754541983,0.08596207533171744
qwen3_8b,21,0.31032349824865435,0.08418227192517007
qwen3_8b,22,0.27738874585103795,0.08621276803165197
qwen3_8b,23,0.28056704801728555,0.08708047556044198
qwen3_8b,24,0.28828682887932855,0.08558348128443939
qwen3_8b,25,0.3112727194497102,0.07819237919161738
qwen3_8b,26,0.2994469105725887,0.07586445939251599
qwen3_8b,27,0.29653702988901265,0.07392877161687834
qwen3_8b,28,0.30338621803004473,0.07087495876632627
qwen3_8b,29,0.3015697096003012,0.07018940565367278
qwen3_8b,30,0.300772253226697,0.07183253469736277
qwen3_8b,31,0.2948860956373053,0.07007127115614246
qwen3_8b,32,0.29397599767357496,0.07006693070061183
qwen3_8b,33,0.2923945041962297,0.06910495124799888
qwen3_8b,34,0.2824485052342452,0.07049378142861472
qwen3_8b,35,0.2663172680882605,0.07382276434392784
qwen3_8b,36,0.23808710312473452,0.07460978838855749
qwen3_32b,0,0.2628800669597601,0.06978815791529193
qwen3_32b,1,0.28845880007928976,0.07101216561127859
qwen3_32b,2,0.2926609662405138,0.06970969376586475
qwen3_32b,3,0.3204374289454698,0.06852768662677183
qwen3_32b,4,0.3283981844825585,0.06876418414150623
